Pseudonym,Model,Commit,MAE (↓),MSE (↓)
9C5aa6FE2D,my_model,391bdf4e,1.0791577150584002,2.6193814782294904
D9A36a4cE7,my_model,870327da,1.0728103499366377,2.5422775336267573
94DCe9cCEC,my_model,09de2eb4,1.1219584569292909,2.8031345350088603
5caF20D117,lalapuchi_final_model,9598089b,1.0987971329158148,2.7131510252003794
1cC8Dc8Cec,my_model,8598229e,1.1014020595315779,2.724217401607867
5caF20D117,v2_lalapuchi_final_model,ffb206ef,1.0964613227218263,2.6940334719788903
A1CdEF2B8F,my_model,44a5e032,1.075899347638913,2.5512382876434834
1cC8Dc8Cec,my_model,348b212c,1.1014020595315779,2.724217401607867
1cC8Dc8Cec,my_model,e6d9146a,1.0844026770587254,2.6234970975622054
809A135f04,my_model,53c54e3b,3.177963886211084,15.078553680196624
1cC8Dc8Cec,my_model,dd7f00d0,1.0844026770587254,2.6234970975622054
ADE9EebB80,my_model,3496304f,1.0963190323060445,2.6923507893231244
5a360364b8,tree,ca10c9e6,1.0738153659599152,2.6003319860126832
809A135f04,my_model,252d331e,1.1014020595315779,2.724217401607867
81299f3374,my_model,d434e8d2,1.2214168204950808,3.6004257358183684
81299f3374,my_model,a4bc8019,1.0978883270811055,2.7351672536089535
81299f3374,my_model,59466e3f,1.0945138080627512,2.7028565559889883
8F4Ef62c2F,my_model,5e854b7a,1.47933315562168,4.303566879408467
8F4Ef62c2F,my_model,433f6169,1.2920294276458302,3.482842346265702
f30dC6bED5,my_polynomial_model,96946bfe,865166439.4680859,1.866791328881623e+21
D1bEa91efD,my_model,36931f2f,1.0888653454573556,2.679021080298606
9C5aa6FE2D,my_model,32f796f4,1.0711087563382897,2.5885256101342593
89Ce3118ab,my_model,873a99de,1.1048292030691464,2.737683945725571
fc8Db8f7ec,examples,09e8130b,3.1529889821523556,14.839848276461906
8F4Ef62c2F,my_model,cb3bcc5e,1.2329432228380512,3.161767061769762
daEA9fABad,my_model,6ffd64cb,1.394413931175125,3.776212589080686
fc8Db8f7ec,examples,6b93fef6,3.1750391881247477,15.088137820855561
f15ca84FdE,my_model,1f96e564,1.0768792940396674,2.609397056810189
60C8fa52De,my_model,4d0c8157,1.43874915695858,4.736886694426956
daEA9fABad,my_model,ec801917,1.394413931175125,3.776212589080686
0E1Ab9df1e,my_model,1a06b0ce,,
09989bf818,my_model,7c11cbf0,1.10276045051284,2.6890554695550395
DEd9D02b61,my_model,4bae963e,1.4506781669208417,3.997157131598829
d80abfaC90,id3regression,ee4ec1c8,1.338602034461666,3.5454685519978946
5a360364b8,lasso,51c6ba29,17465.671347178602,380346233872.6914
